11/09/2000 Kansas                  99 UCLA                    98 N New York, NY
11/22/2000 Temple                  69 Indiana                 61 N New York, NY
11/22/2000 Long Island             53 Yale                    67
11/22/2000 Rio Grande              70 Ohio                    91
11/22/2000 Robert Morris           61 East Carolina           72
11/22/2000 New Hampshire           78 Army                    80
11/22/2000 Detroit                 87 Chicago St.             65
11/22/2000 Loyola Chicago          68 Notre Dame             107
11/22/2000 Eastern Kentucky        75 Xavier (OH)             93
11/22/2000 Loyola (MD)             58 Penn St.                87
11/22/2000 VA Commonwealth         63 East Tennessee St.      53
11/22/2000 IUPUI                   65 Ball St.                73
11/22/2000 Arkansas Pine Bluff     40 Baylor                  85
11/22/2000 MD Eastern Shore        33 Northwestern            56
11/22/2000 Prairie View A&M        53 Texas Tech              82
11/22/2000 Portland                72 Texas A&M Corpus Chris  70
11/22/2000 Sam Houston St.         65 Mississippi             71
11/22/2000 Jackson St.             78 Arkansas               107
11/22/2000 Alaska Fairbanks        50 Bradley                 81
11/22/2000 Hampton                 73 Wisconsin Green Bay     70
11/22/2000 Rhode Island            60 Missouri                70 N Anchorage, AK
11/22/2000 Illinois                76 Arizona                 79 N Lahaina, HI
11/22/2000 Texas                   69 Duke                    95 N New York, NY
11/22/2000 Northern Iowa           58 Montana                 72
11/22/2000 James Madison           70 Vanderbilt              84
11/22/2000 Santa Clara             41 Pacific                 63
11/22/2000 St. Mary's (CA)         61 Cal St. Sacramento      75
11/22/2000 Morris Brown            59 Weber St.               87
11/22/2000 Valparaiso              83 Alaska Anchorage        67
11/23/2000 Indiana St.             64 Georgia                 82 N San Juan, PR
11/23/2000 Utah                    94 AU Puerto Rico          37
11/23/2000 Old Dominion            60 Stanford                84 N San Juan, PR
11/23/2000 Miami (OH)              59 Memphis                 60 N San Juan, PR
11/23/2000 Florida St.             65 Ohio St.                90 N Anchorage, AK
11/23/2000 DePaul                  84 Syracuse                92 N Anchorage, AK
11/24/2000 Portland                75 Texas Pan American      81
11/24/2000 Elon                    66 San Diego               87 N Honolulu, HI
11/24/2000 Indiana St.             85 AU Puerto Rico          58
11/24/2000 Toledo                  59 SE Missouri St.         43 N Kansas City, MO
11/24/2000 Stanford                83 Memphis                 60 N San Juan, PR
11/24/2000 Wisconsin Milwaukee     78 Florida Atlantic        60 n Miami, FL
11/24/2000 Robert Morris           71 Auburn                  89 N Kansas City, MO
11/24/2000 Rhode Island            77 Alaska Anchorage        87
11/24/2000 Canisius                67 Florida International   65
11/24/2000 Georgia                 65 Utah                    60 N San Juan, PR
11/24/2000 Georgetown              77 Central Florida         65 N Honolulu, HI
11/24/2000 San Francisco           74 Long Beach St.          76 N Hilo, HI
11/24/2000 Cleveland St.           59 Creighton               66 N Kansas City, MO
11/24/2000 Florida St.             74 DePaul                  80 N Anchorage, AK
11/24/2000 Cornell                 56 Michigan St.            89
11/24/2000 Boston University       66 Quinnipiac              60 N Washington, DC
11/24/2000 Texas                   70 Indiana                 58 N New York, NY
11/24/2000 Old Dominion            57 Miami (OH)              64 N San Juan, PR
11/24/2000 College of Charleston   69 Duquesne                66 N Honolulu, HI
11/24/2000 Davidson                61 Georgia Tech            92
11/24/2000 Virginia                64 Virginia Tech           48
11/24/2000 Providence              60 Missouri Kansas City    53
11/24/2000 Oklahoma                84 Montana St.             76 N Hilo, HI
11/24/2000 Howard                  80 George Washington      119
11/24/2000 Texas Southern          70 Iowa St.               109
11/24/2000 East Tennessee St.      76 Vanderbilt              87
11/24/2000 Eastern Washington      62 Bradley                 56 N East Lansing, MI
11/24/2000 Birmingham Southern     49 Rice                    60
11/24/2000 Temple                  61 Duke                    63 N New York, NY
11/24/2000 Denver                  65 Air Force               56
11/24/2000 Valparaiso              61 Missouri                77 N Anchorage, AK
11/24/2000 TCU                    111 Siena                   91 N Honolulu, HI
11/24/2000 Albertson               76 Boise St.               96
11/24/2000 Oregon St.              60 Appalachian St.         37 N Hilo, HI
11/24/2000 SE Louisiana            55 Hawaii                  59
11/24/2000 Minnesota               86 Hawaii Pacific          75
11/24/2000 Ohio St.                66 Syracuse                77 N Anchorage, AK
11/24/2000 Tulane                  88 Hawaii Hilo             76
11/25/2000 Montana                 85 Nevada                  86
11/25/2000 La Salle                62 UAB                     73
11/25/2000 Siena                   79 Hawaii Pacific          73
11/25/2000 Idaho St.               64 Southern Utah           82
11/25/2000 Loyola Marymount        68 Southern California     91
11/25/2000 Idaho                   42 Gonzaga                 92
11/25/2000 Colorado St.            78 Washington St.          64
11/25/2000 Portland St.            66 Oregon                  84
11/25/2000 Tulane                  69 Oklahoma                83 N Hilo, HI
11/25/2000 Toledo                  95 Auburn                  90 N Kansas City, MO
11/25/2000 New Hampshire           96 Dartmouth               89
11/25/2000 Mississippi             88 VA Commonwealth         84
11/25/2000 Marist                  69 Pittsburgh              71
11/25/2000 Old Dominion            72 AU Puerto Rico          75
11/25/2000 Northeastern            86 Miami (FL)              92
11/25/2000 Indiana St.             54 Miami (OH)              46 N San Juan, PR
11/25/2000 Montana St.            100 Hawaii Hilo             79
11/25/2000 Brown                   52 Boston College          81
11/25/2000 Cincinnati              51 Notre Dame              69 N Indianapolis, IN
11/25/2000 Massachusetts           65 Holy Cross              78
11/25/2000 Robert Morris           53 SE Missouri St.         78 N Kansas City, MO
11/25/2000 Iona                    82 Fordham                 85
11/25/2000 The Citadel             76 Clemson                 84
11/25/2000 Illinois Chicago        56 Central Michigan        70
11/25/2000 Winthrop                65 William & Mary          54
11/25/2000 Hofstra                 72 Stony Brook             60
11/25/2000 Niagara                 59 St. John's (NY)         92
11/25/2000 Belmont                 69 Samford                 58
11/25/2000 Northern Illinois       64 Wisconsin               68
